Product Name,GPU Chip,Released Year,Bus,Memory (Gb),GPU clock (MHz),Memory clock (MHz),Shaders
GeForce RTX 3050 8 GB,GA106,2022,PCIe 4.0 x8,8,1552,1750,2560
GeForce RTX 3060,GA106,2021,PCIe 4.0 x16,12,1320,1875,3584
GeForce RTX 3090,GA102,2020,PCIe 4.0 x16,24,1395,1219,10496
GeForce RTX 3060 Ti,GA104,2020,PCIe 4.0 x16,8,1410,1750,4864
Radeon RX 6600 XT,Navi 23,2021,PCIe 4.0 x8,8,1968,2000,2048
GeForce GTX 1050 Ti,GP107,2016,PCIe 3.0 x16,4,1291,1752,768
GeForce RTX 3070,GA104,2020,PCIe 4.0 x16,8,1500,1750,5888
GeForce RTX 3080,GA102,2020,PCIe 4.0 x16,10,1440,1188,8704
GeForce GTX 1060 6 GB,GP106,2016,PCIe 3.0 x16,6,1506,2002,1280
GeForce RTX 3070 Ti,GA104,2021,PCIe 4.0 x16,8,1575,1188,6144
GeForce GTX 1070,GP104,2016,PCIe 3.0 x16,8,1506,2002,1920
GeForce GTX 1650,TU117,2019,PCIe 3.0 x16,4,1485,2001,896
GeForce GTX 970,GM204,2014,PCIe 3.0 x16,4,1050,1753,1664
GeForce RTX 2060,TU106,2019,PCIe 3.0 x16,6,1365,1750,1920
Radeon RX 6500 XT,Navi 24,2022,PCIe 4.0 x4,4,2310,2248,1024
GeForce RTX 3080 Ti,GA102,2021,PCIe 4.0 x16,12,1365,1188,10240
Radeon RX 6600,Navi 23,2021,PCIe 4.0 x8,8,1626,1750,1792
GeForce GTX 960,GM206,2015,PCIe 3.0 x16,2,1127,1753,1024
GeForce GTX 750 Ti,GM107,2014,PCIe 3.0 x16,2,1020,1350,640
Radeon RX 580,Polaris 20,2017,PCIe 3.0 x16,8,1257,2000,2304
GeForce GTX 1080 Ti,GP102,2017,PCIe 3.0 x16,11,1481,1376,3584
GeForce GT 1030,GP108,2017,PCIe 3.0 x4,2,1228,1502,384
Radeon RX 570,Polaris 20,2017,PCIe 3.0 x16,4,1168,1750,2048
GeForce RTX 3050 4 GB,GA107,2022,PCIe 4.0 x8,4,1545,1750,2304
Radeon RX 6900 XT,Navi 21,2020,PCIe 4.0 x16,16,1825,2000,5120
GeForce GTX 1080,GP104,2016,PCIe 3.0 x16,8,1607,1251,2560
Radeon RX 6700 XT,Navi 22,2021,PCIe 4.0 x16,12,2321,2000,2560
GeForce GTX 1660 SUPER,TU116,2019,PCIe 3.0 x16,6,1530,1750,1408
Radeon RX 550,Lexa,2017,PCIe 3.0 x8,2,1100,1750,512
GeForce GTX 1050,GP107,2016,PCIe 3.0 x16,2,1354,1752,640
GeForce GTX 1660 Ti,TU116,2019,PCIe 3.0 x16,6,1500,1500,1536
GeForce GT 730,GK208B,2014,PCIe 2.0 x8,1,902,1253,384
GeForce GTX 550 Ti,GF116,2011,PCIe 2.0 x16,1,900,1026,192
GeForce RTX 2080 Ti,TU102,2018,PCIe 3.0 x16,11,1350,1750,4352
GeForce GTX 980 Ti,GM200,2015,PCIe 3.0 x16,6,1000,1753,2816
GeForce GTX 1650 SUPER,TU116,2019,PCIe 3.0 x16,4,1530,1500,1280
GeForce GTX 1660,TU116,2019,PCIe 3.0 x16,6,1530,2001,1408
GeForce GTX 950,GM206,2015,PCIe 3.0 x16,2,1024,1653,768
GeForce GTX 760,GK104,2013,PCIe 3.0 x16,2,980,1502,1152
Radeon RX 560,Polaris 21,2017,PCIe 3.0 x8,4,1175,1750,1024
GeForce GTX 660,GK106,2012,PCIe 3.0 x16,2,980,1502,960
GeForce GTX 980,GM204,2014,PCIe 3.0 x16,4,1127,1753,2048
GeForce RTX 2070 SUPER,TU104,2019,PCIe 3.0 x16,8,1605,1750,2560
GeForce RTX 2070,TU106,2018,PCIe 3.0 x16,8,1410,1750,2304
GeForce RTX 2060 SUPER,TU106,2019,PCIe 3.0 x16,8,1470,1750,2176
GeForce GTX 460,GF104,2010,PCIe 2.0 x16,1,675,900,336
Radeon RX 6800 XT,Navi 21,2020,PCIe 4.0 x16,16,1825,2000,4608
GeForce GTS 450,GF106,2010,PCIe 2.0 x16,1,783,902,192
